#ComponentName	ReleaseName	Type	STAR	Classification	Description
DW_ram_r_w_2c_dff	O-2018.06-SP3	Enhancement	9001406396	Sim and Synth	Request to make DW_ram_r_w_2c_dff available as a main component
DW_fp_div_seq	N-2017.09-SP5-4	Bug	9001366623	Simulation	Verilog simulation model has illegal register definition
DW_fir_seq	N-2017.09-SP5-4	Bug	9001396239	Simulation	Verilog simulation models contain SV constructs
DW_8b10b_dec	N-2017.09-SP5-4	Bug	9001396239	Simulation	Verilog simulation models contain SV constructs
DW_asymfifo_s2_sf	N-2017.09-SP5-4	Bug	9001390667	Simulation	Verilog simulation model has syntax error
DW_exp2	O-2018.06-SP1	Bug	9001366625	Simulation	Datasheet missing width limits on simulation model for VHDL and non-VCS simulators
DW_fp_exp	O-2018.06-SP1	Bug	9001366625	Simulation	Datasheet missing width limits on simulation model for VHDL and non-VCS simulators
DW_fp_exp2	O-2018.06-SP1	Bug	9001366625	Simulation	Datasheet missing width limits on simulation model for VHDL and non-VCS simulators
DW_fp_div_seq	O-2018.06-SP1	Bug	9001366623	Simulation	Verilog simulation model has a variable of type reg but is used as if it is of type wire, which causes a syntax error in a non-SystemVerilog context
DW_exp2	O-2018.06-SP1	Bug	9001341564	Simulation	VHDL simulation model has variable that is never used
DW_ln	O-2018.06-SP1	Bug	9001341564	Simulation	VHDL simulation model has variable that is never used
DW_log2	O-2018.06-SP1	Bug	9001341564	Simulation	VHDL simulation model has variable that is never used
DW_asymdata_inbuf	N-2017.09-SP5	Bug	9001317257	Sim and Synth	Expand the supported width to better fit related components
DW_asymdata_outbuf	N-2017.09-SP5	Bug	9001317257	Sim and Synth	Expand the supported width to better fit related components
DW_asymfifo_s2_sf	N-2017.09-SP5	Bug	9001317257	Sim and Synth	Expand the supported width and depth to better fit related components
DW_fifo_s2_sf	N-2017.09-SP5	Bug	9001317257	Sim and Synth	Expand the supported width and depth to better fit related components
DW_fp_ln	N-2017.09-SP5	Bug	9001308455	Sim and Synth	Upper bound of extra_prec is incorrect, both in the sldb and the datasheet
DW_fp_dp2	N-2017.09-SP4	Bug	9001298598	Sim and Synth	The huge status flag is not set for an overflow condition when the rounding mode is 1, 2, or 3
DW_fp_mac	N-2017.09-SP4	Bug	9001298598	Sim and Synth	The huge status flag is not set for an overflow condition when the rounding mode is 1, 2, or 3
DW_fp_sum3	N-2017.09-SP4	Bug	9001298598	Sim and Synth	The huge status flag is not set for an overflow condition when the rounding mode is 1, 2, or 3
DW_fp_sum4	N-2017.09-SP4	Bug	9001298598	Sim and Synth	The huge status flag is not set for an overflow condition when the rounding mode is 1, 2, or 3
DW_div_seq	N-2017.09-SP4	Bug	9001296230	Simulation	Register output is not recovered by async reset after UPF power up in an NLP simulation
DW_lza	N-2017.09-SP4	Bug	9001242906	Synthesis	In the datasheet, the example of functional inference is incorrect
Library	N-2017.09-SP4	Bug	9001214579	Synthesis	DC generates an empty netlist without any warnings or errors when you use set_implementation to force DC to use an illegal implementation
Library support scripts	N-2017.09-SP-3	Bug	9001205061	Synthesis	Getting CMD- messages from DWBB designs when using UPF compatibility mode in DC
DW_asymfifo_s2_sf	N-2017.09-SP-2	Enhancement	9001026675	Simulation	Added the ability to inject random missamples for clock domain crossings (applies only for Verilog simulation models)
DW_asymfifoctl_s2_sf	N-2017.09-SP-2	Enhancement	9001026675	Simulation	Added the ability to inject random missamples for clock domain crossings (applies only for Verilog simulation models)
DW_fifo_s2_sf	N-2017.09-SP-2	Enhancement	9001026675	Simulation	Added the ability to inject random missamples for clock domain crossings (applies only for Verilog simulation models)
DW_fifoctl_s2_sf	N-2017.09-SP-2	Enhancement	9001026675	Simulation	Added the ability to inject random missamples for clock domain crossings (applies only for Verilog simulation models)
DW_fp_div_seq	M-2016.12-SP5-2	Bug	9001121224	Sim and Synth	The "complete" signal is asserted 1 clock earlier (or de-asserted 1 clock later) than expected
DW_fp_div_seq	M-2016.12-SP5-2	Bug	9001251699	Sim and Synth	A change on "rnd" affects rounding results 1 cycle earlier 
DW_div_seq	M-2016.12-SP5-1	Bug	9001112685	Synthesis	Incorrect synthesis results with an overflow condition when tc_mode = 1
DW_ecc	M-2016.12-SP5-1	Bug	9001217597	Simulation	The Verilog simulation model causes an error in VCS NLP Low Power Simulation flow
DW_fp_div	M-2016.12-SP5	Bug	9001189734	Synthesis	The str implementation produces incorrect results for some configurations
DW_fp_div	M-2016.12-SP5	Bug	9001210054	Sim and Synth	Incorrect results when b is a denormal number for some configurations
DW_fp_exp	M-2016.12-SP5	Bug	9001204304	Simulation	VHDL simulation model for DW_fp_exp does not run due to array size mismatch
DWF_dp_mult_comb_ovfldet	M-2016.12-SP5	Bug	9001170509	Simulation	Missing port direction in DWF_dp_mult_comb_ovfldet VHDL simulation model
DW_fifoctl_2c_df	M-2016.12-SP5	Bug	9001209980	Documentation	Datasheet error with the size of the wr_addr_s port
